(index) -> (Time,IDN,Latitude,Longitude,Z,P,T)
Time[fmt="yyyy-MM-dd HH:mm:ss"],IDN[unit=""],Latitude[unit="deg"],Longitude[unit="degrees west"],Z[unit="m"],P[unit="hPa"],T[unit="celsius"]
2009-02-03 12:00:00Z,71203.0,50.0,119.4,5670.0,500.0,-20.9
2009-02-03 12:00:00Z,71109.0,50.7,127.4,5580.0,500.0,-20.3
2009-02-03 12:00:00Z,71867.0,54.0,101.1,5350.0,500.0,-35.3
2009-02-03 12:00:00Z,71815.0,48.5,58.5,5400.0,500.0,-25.5
2009-02-03 12:00:00Z,71816.0,53.3,60.4,5200.0,500.0,-34.7
2009-02-03 12:00:00Z,71801.0,47.6,52.7,5490.0,500.0,-25.7
2009-02-03 12:00:00Z,71600.0,43.9,60.0,5560.0,500.0,-21.7
2009-02-03 12:00:00Z,71603.0,43.8,66.1,5480.0,500.0,-21.3
2009-02-03 12:00:00Z,71845.0,51.4,90.2,5230.0,500.0,-37.7
2009-02-03 12:00:00Z,71722.0,46.4,76.0,5250.0,500.0,-34.1
2009-02-03 12:00:00Z,71823.0,53.8,73.7,5170.0,500.0,-37.7
2009-02-03 12:00:00Z,71836.0,51.3,80.6,5230.0,500.0,-35.5
2009-02-03 12:00:00Z,71811.0,50.2,66.3,5230.0,500.0,-32.5
2009-02-03 12:00:00Z,76692.0,19.1,96.1,5820.0,500.0,-7.3
2009-02-03 12:00:00Z,76405.0,24.3,110.4,5820.0,500.0,-11.3
2009-02-03 12:00:00Z,76679.0,19.4,99.1,5840.0,500.0,-7.5
2009-02-03 12:00:00Z,76654.0,19.0,104.3,5860.0,500.0,-8.9
2009-02-03 12:00:00Z,76256.0,27.9,110.9,5800.0,500.0,-14.3
2009-02-03 12:00:00Z,76225.0,28.6,106.1,5770.0,500.0,-14.7
2009-02-03 12:00:00Z,76458.0,23.2,106.4,5810.0,500.0,-9.7
2009-02-03 12:00:00Z,76394.0,25.9,100.2,5760.0,500.0,-17.5
2009-02-03 12:00:00Z,76644.0,20.9,89.6,5810.0,500.0,-7.9
2009-02-03 12:00:00Z,78866.0,18.0,63.1,5870.0,500.0,-7.7
2009-02-03 12:00:00Z,78016.0,32.4,64.7,5760.0,500.0,-13.9
2009-02-03 12:00:00Z,78073.0,25.0,77.5,5770.0,500.0,-10.9
2009-02-03 12:00:00Z,78486.0,18.4,69.9,5860.0,500.0,-6.3
2009-02-03 12:00:00Z,78384.0,19.3,81.3,5840.0,500.0,-8.9
