time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],air_pressure_at_sea_level[unit="hectoPascal"],air_temperature[unit="Celsius"],cloud_area_fraction[unit=""],dew_point_temperature[unit="Celsius"],high_cloud_area_fraction[unit=""],high_cloud_base_altitude[unit="meters"],low_cloud_area_fraction[unit=""],low_cloud_base_altitude[unit="meters"],middle_cloud_area_fraction[unit=""],middle_cloud_base_altitude[unit="meters"],precipitation_amount_24[unit=".01 inches"],precipitation_amount_hourly[unit=".01 inches"],visibility_in_air[unit="US_statute_mile"],weather,wind_from_direction[unit="degrees"],wind_speed[unit="m/s"],xfields
2016-01-16 00:00:00Z,WIT,45.169,-73.680,1008.9,-9.0,NaN,-12.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,80,2.057776,AO1 SOG 02 5013
2016-01-16 00:00:00Z,WIX,48.770,-71.720,1014.6,-20.8,NaN,-23.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,50,1.543332,AO1 58026
2016-01-16 00:00:00Z,WIY,47.150,-67.819,1013.2,-16.5,NaN,-20.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,220,1.543332,AO1 58008
2016-01-16 00:00:00Z,WIZ,45.299,-73.349,NaN,-8.9,NaN,-12.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,30,3.086664,AO1 SOG 08
2016-01-16 00:00:00Z,WJB,47.299,-71.269,NaN,-10.4,NaN,-15.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,40,2.057776,AO1 SOG 18
2016-01-15 23:56:00Z,WJF,34.729,-118.220,1018.6,12.8,0.0,3.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,270,7.71666,AO2 10156 20117 53004
2016-01-16 00:00:00Z,WJI,49.729,-105.930,1022.2,-19.4,NaN,-22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,350,4.629996,AO1 SOG 08 1023
2016-01-16 00:00:00Z,WJO,48.419,-71.220,1015.7,-18.6,NaN,-21.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,0.0,AO1 58026
2016-01-16 00:00:00Z,WJR,49.080,-116.500,1018.4,-0.4,NaN,-2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,300,1.543332,AO1 SOG 09 3005
2016-01-16 00:00:00Z,WJT,46.069,-74.529,1010.1,-9.7,NaN,-13.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,120,1.028888,AO1 56026
2016-01-16 00:00:00Z,WKG,44.430,-65.199,1013.7,-9.6,NaN,-11.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,250,1.028888,AO1 SOG 21 8012
2016-01-16 00:00:00Z,WKO,49.169,-105.980,1020.7,-20.4,NaN,-22.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,360,4.115552,AO1 SOG 17 3025 50002
2016-01-16 00:00:00Z,WLS,43.979,-80.750,997.4,0.5,NaN,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,NaN,,150,3.601108,AO1 3PAST HR SOG 16 5010 50007
2016-01-15 23:56:00Z,WMC,40.900,-117.800,1019.2,1.7,0.0,-2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,160,2.57222,AO2 10033 20011 58003
2016-01-16 00:00:00Z,WMJ,46.279,-76.000,1007.6,-8.8,NaN,-10.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,60,2.57222,AO1 SOG 19 6015
2016-01-16 00:00:00Z,WMQ,49.900,-109.470,1022.6,-15.9,NaN,-18.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,NaN,,20,1.543332,AO1 2PAST HR SOG 01 1020 50002
2016-01-16 00:00:00Z,WMZ,45.029,-80.370,996.5,0.5,NaN,-1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,130,10.803324,AO1 56017
2016-01-16 00:00:00Z,WNB,41.830,-82.470,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-99999,NaN,AO1 57007
2016-01-16 00:00:00Z,WNC,43.950,-78.169,1000.6,0.0,NaN,-3.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,90,4.629996,AO1 SOG 01 6018
2016-01-16 00:00:00Z,WNE,47.080,-64.000,1009.9,-6.1,NaN,-10.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,290,13.375544,AO1 1021 50013
2016-01-16 00:00:00Z,WNH,47.799,-69.550,1013.8,-15.8,NaN,-18.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,120,0.514444,AO1 SOG 20 8014
2016-01-16 00:00:00Z,WNK,49.500,-98.029,NaN,-20.9,NaN,-23.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,310,2.057776,AO1
2016-01-16 00:00:00Z,WNL,45.630,-82.970,995.4,-3.3,NaN,-3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,60,2.57222,AO1 56004
2016-01-16 00:00:00Z,WNM,49.500,-117.300,1017.4,1.6,NaN,-2.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,14.404432,AO1 SOG 06 1007
2016-01-16 00:00:00Z,WNQ,46.220,-72.650,1010.9,-9.1,NaN,-14.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,40,3.086664,AO1 58022
