,timeObs,stationName,longitude,latitude,temperature,dewpoint,windDir,windSpeed,seaLevelPress,presWeather,skyCover,skyLayerBase
423,2016-06-22 13:15:00,KJGG,-76.716003418,37.2389984131,30.0,19.0,290.0,6.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
424,2016-06-22 13:15:00,KJSO,-95.2170028687,31.8689994812,32.0,22.0,160.0,4.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[3600.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
443,2016-06-22 13:15:00,KPVW,-101.722000122,34.1629981995,35.0,15.0,190.0,11.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
445,2016-06-22 13:15:00,KRCR,-86.1816864014,41.0655288696,23.0,20.0,260.0,3.0,-9999.0,"['', '', '', '', '']","['BKN', 'OVC', '', '', '', '']","[1500.0, 2300.0, -9999.0, -9999.0, -9999.0, -9999.0]"
446,2016-06-22 13:15:00,KRDK,-95.2699966431,41.0200004578,31.0,21.0,300.0,7.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
447,2016-06-22 13:15:00,KRMN,-77.4550018311,38.3979988098,27.0,17.0,240.0,6.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
448,2016-06-22 13:15:00,KRNH,-92.5380020142,45.1479988098,27.0,15.0,150.0,6.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
449,2016-06-22 13:15:00,KRPD,-91.7300033569,45.5099983215,27.0,12.0,110.0,8.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
450,2016-06-22 13:15:00,KRTS,-119.876441956,39.6681785583,29.0,-7.0,220.0,11.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
451,2016-06-22 13:15:00,KRZN,-92.3730010986,45.8230018616,27.0,10.0,150.0,3.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[6000.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
452,2016-06-22 13:15:00,KSBO,-82.3699035645,32.6091003418,35.0,16.0,250.0,5.0,-9999.0,"['', '', '', '', '']","['SCT', 'BKN', '', '', '', '']","[6500.0, 7500.0, -9999.0, -9999.0, -9999.0, -9999.0]"
453,2016-06-22 13:15:00,KSFQ,-76.5999984741,36.6800003052,29.0,18.0,260.0,8.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
